# Start logging at 2023-07-31 08:03:46 CDT
[10:04:44]  captainfalcum: captain de cum
[10:04:48]  muirthemne: monkaS
[10:07:15]  dr0gulus: @CaptainFalcum https://www.twitch.tv/videos/1882694558?t=2h4m50s
[10:08:13]  sycocell: ^ this is content
[10:08:26]  muirthemne: sy1vieWOW
[10:08:31]  muirthemne: brioBounce DinoDance brioBounce
[10:09:48]  captainfalcum: is there an actual emote or was that a MEME. I'm on mobile :(
[10:09:54]  captainfalcum: dr0gulFruitRave  (?)
[10:10:18]  dr0gulus: its a fucking meme
[10:10:20]  dr0gulus: you got got
[10:10:34]  captainfalcum: no cum for you
[10:10:38]  muirthemne: PrideLaugh
[10:10:44]  stupidketchup: tragic
[10:11:31]  captainfalcum: dr0g epic memed me and now me life's in dark shambles
[10:11:59]  muirthemne: cakeumNOOO
[10:14:49]  muirthemne: (Audio for portions of this video has been muted as it appears to contain copyrighted content owned or controlled by a third party.)
[10:15:10]  dr0gulus: third party???
[10:15:16]  dr0gulus: i wasn't even invited to the first two
[10:15:18]  dr0gulus: Sadge
[10:15:26]  captainfalcum: I heard it on my phone
[10:15:32]  captainfalcum: 🤔
[10:15:46]  muirthemne: lol it just shows up as a warning for me on desktop but the music still there
[10:15:57]  dr0gulus: its other parts of the vod
[10:16:00]  dr0gulus: song requests during spire
[10:16:10]  muirthemne: monkaS
[10:16:26]  muirthemne: dr0gulDMCA
[10:16:32]  captainfalcum: HahaThink
[10:16:39]  dr0gulus: good thing i turned off the thing that separates music in the vods
[10:16:46]  dr0gulus: otherwise i would have been bouncing around in silence like a moron
[10:17:10]  muirthemne: I muted the video to make it look like you are :)
[10:17:30]  dr0gulus: but then you miss me breathing loudly into the mic
[10:17:42]  muirthemne: cakeumNOOO
[10:17:59]  muirthemne: (I turn my head away from the mic to breath)
[10:21:47]  truesque: me
[10:22:05]  truesque: ah
[10:22:12]  truesque: my chat was being weird :D
[10:23:06]  truesque: @dr0gulus will you tell dr1g that you were an actor in the fruit rave videos
[10:23:15]  truesque: and show him that vod as evidence when he is a toddler
[10:23:23]  arkthepieking: Mornin'! How's runs going?
[10:23:56]  dr0gulus: yes
[10:24:16]  dr0gulus: gaslighting your kids is essential to being a good parent
[10:24:29]  truesque: is that what they taught you
[10:24:34]  dr0gulus: yes :D
[10:24:36]  stupidketchup: @dr0gulus oof. relatable
[10:24:36]  truesque: when are you doing the comprehensive parenting lessons stream
[10:24:50]  dr0gulus: Soon
[10:24:53]  truesque: Soon
[10:25:09]  stupidketchup: frozen core is so fun
[10:25:09]  arkthepieking: Aww I'll try to shift some of my good luck to you. Did a boss swap on Defect just now and the game saw fit to give me 2 hyper beams, equilibrium, and a genetic algorithm, the run basically won itself lmao
[10:27:09]  arkthepieking: @stupidketchup Yeah Frozen is dope
[10:27:11]  muirthemne: monkaS
[10:28:41]  arkthepieking: Reboot is my favorite underrated card that's still actually kind of bad
[10:29:06]  stupidketchup: ooo modest mouse popcor41Jammin
[10:29:17]  muirthemne: brioRave
[10:29:20]  arkthepieking: Like it's not GOOD but it's not one of the worst cards ever like people say
[10:29:36]  truesque: do people say it's that bad?
[10:29:54]  truesque: I feel like people say oh my god it draws 6
[10:30:05]  arkthepieking: Whenever i see it come up in conversation it's always disappointment
[10:30:08]  truesque: I've never seen someone skip a reboot over nothing
[10:30:20]  stupidketchup: i like reboot but other defect rares are so much more pog
[10:30:31]  arkthepieking: Reboot feels like an uncommon, not a rare. It's not game defining
[10:30:52]  stupidketchup: i love reboot with pyramid
[10:31:46]  arkthepieking: @stupidketchup Reboot with pyramid does sound good actually
[10:32:15]  sycocell: for me, every time i see reboot i just think "you're taking the place of a better card and i'm mad at you about it"
[10:32:19]  truesque: pyramid can exaggerate the bad thing about reboot sometimes
[10:33:25]  stupidketchup: i once had an oddball deck with abacus / 2 reboots / 2 deep breaths. that was fun
[10:33:25]  sycocell: i also haven't had too many "reboot helps me here" moments. it's not that i don't take it, but i favor a whole lot of cards ahead of it
[10:33:32]  sycocell: including non-rare cards
[10:33:36]  truesque: I mean I just click reboot because having an anti-brick card is just good
[10:34:00]  truesque: and the thing is that most of the time if I draw reboot and don't want to play it, the hand is probably good enough anyway and it doesn't matter that I don't play it
[10:34:11]  truesque: except in the specific case of wanting to not bottom deck something in particular fights
[10:34:37]  sycocell: @truesque does it frustrate you in that hand because it could've drawn something more useful for that hand? or is it usually you're using all the energy anyway so the extra card draw wouldn't have done anything?
[10:35:15]  truesque: If the hand is good enough that I don't need to reboot I actually don't mind that the reboot is there
[10:35:21]  truesque: but if the hand isn't good enough I am happy the reboot is there
[10:35:21]  sycocell: gotcha
[10:35:26]  truesque: so it's not actually bad usually
[10:35:27]  sycocell: makes sense
[10:35:34]  sycocell: ty for explaining <3
[10:36:11]  truesque: I am not a pro defecter
[10:36:20]  truesque: but that's my impression c:
[10:36:25]  muirthemne: DinoDance
[10:36:45]  truesque: catJAM
[10:37:58]  sycocell: oh yeah you vouched for deep breath and that thing was GAMING
[10:38:12]  arkthepieking: It's always wonderful when a subpar card gets to shine
[10:39:05]  arkthepieking: Had an Ironclad run with two Juggernauts, a rage, and two iron waves. It was sooooo satisfying
[10:39:13]  sycocell: repros yeah
[10:40:39]  arkthepieking: I would support reboot
[10:40:49]  truesque: There was a fun robot a week ish ago where I needed to take an early melter
[10:40:51]  truesque: and it gamed out of its mind
[10:42:41]  truesque: holy inserter frozen core
[10:42:48]  truesque: hellof5Giggle
[10:43:19]  sycocell: what was frozen core up against?
[10:43:23]  truesque: energy is gamer too
[10:43:43]  muirthemne: insterter flushedW
[10:44:38]  muirthemne: just turbo FrankerCool
[10:44:43]  truesque: simply find aggregate+ and turbo+
[10:45:10]  truesque: I was not here on the frozen core pick
[10:45:18]  truesque: holy
[10:45:20]  stupidketchup: lol
[10:46:24]  truesque: inserter is literally free energy with fission
[10:46:52]  arkthepieking: Oh god inserter
[10:46:54]  truesque: I'm an inserter fan
[10:47:00]  arkthepieking: I will black out and click that relic, I'm so stupid for it
[10:47:01]  truesque: also never upgrading that defrag is sad
[10:47:42]  stupidketchup: i think they can both be good. depends on what cards you find next act
[10:48:09]  truesque: With the sustain pretty sure you can get through act 3 pretty easily on the inserter
[10:48:18]  truesque: It's just about whether you can be fast enough in like spire elites
[10:49:32]  truesque: if you find 3 more skims maybe
[10:49:34]  truesque: :D
[10:52:10]  stupidketchup: ritual dagger might makes things less rough
[10:53:12]  truesque: some draw upgrades feel like they'd probably be pretty sick too here
[10:53:42]  truesque: I want defrag overclock coolheaded hologram turbo upgraded now
[10:54:15]  truesque: and I want dagger upgraded 10 floors ago
[10:55:06]  stupidketchup: i rarely upgrade the dagger. it's hard to be that on top of upgrades
[10:55:22]  truesque: often I just upgrade it over pretty much anything
[10:56:07]  icycurves6_9: defect is a bad class
[10:56:34]  truesque: upgrade potion act 4 solution is right here
[10:56:58]  muirthemne: masterrLove
[10:58:30]  moribund: moneyJAM
[10:59:51]  truesque: Loop is free orb generation and slot holy
[11:00:19]  stupidketchup: i like it too. helps with beat of death
[11:00:29]  truesque: free orb slot and generation archetype
[11:01:22]  stupidketchup: meanie shapes
[11:01:34]  icycurves6_9: the music is vibing
[11:01:49]  truesque: I think I'm just most worried about spire elites and first cycle heart
[11:01:54]  truesque: somehow I'm worried about act 4 on the defect
[11:02:11]  sycocell: fission into fission pog
[11:02:17]  truesque: infinite
[11:03:27]  truesque: who is first this act?
[11:03:51]  icycurves6_9: time eater is easy
[11:04:11]  truesque: I think time eater and awakened one are already dead
[11:04:20]  truesque: unless you get completely owned in 2 turns by time eater
[11:04:22]  truesque: which seems unlikely
[11:07:03]  bunhara: dane enahgee
[11:07:19]  truesque: I'm a charge battery lover which is why I die too much
[11:07:37]  truesque: I don't want it here
[11:08:05]  truesque: I would not click it from this position
[11:08:07]  stupidketchup: yeah i like the 2 max hp for act 4
[11:08:43]  truesque: Pretty much if something doesn't help in turns 1-3 of spire elites or heart it doesn't feel like a good add right now is my heuristic
[11:09:12]  truesque: spire growth monkaS
[11:09:13]  truesque: the true act boss
[11:11:30]  hubba_the_bubba: How are u finding the F core?
[11:12:26]  hubba_the_bubba: Gues it get better with inserter
[11:15:27]  hubba_the_bubba: Pro gaming
[11:15:30]  moribund: meme
[11:15:32]  moribund: take the meme
[11:24:07]  theyarejo: Pics or it didn’t happeb
[11:24:18]  duncanarchib: a snacky sort of snack to snack on
[11:24:26]  theyarejo: =P
[11:25:12]  theyarejo: Yum
[11:25:13]  duncanarchib: i gotta go pick some berries they're ripe out here
[11:25:26]  tubbiekim: Yes
[11:25:28]  theyarejo: Do it
[11:25:34]  zyzzyvivification: You should actually add some vinegar.
[11:25:59]  muirthemne: zyzz gefafaWow
[11:26:12]  zyzzyvivification: PridePog
[11:26:27]  zyzzyvivification: I have never memed in my life.
[11:26:33]  muirthemne: brioPrayge
[11:26:41]  zyzzyvivification: There's only one way to find out.
[11:30:22]  nerdbusta1: green
[11:30:25]  duncanarchib: we have amid at home
[11:34:18]  muirthemne: moneyJAM
[11:35:48]  muirthemne: masterrLove maybe the real sidequest was the friends we made along the way
[11:35:57]  nerdbusta1: block scaling PogBones
[11:42:18]  bunhara: what the HELL am i doing here
[11:42:41]  bunhara: no, but im quoting the song
[11:42:51]  bunhara: but you can answer where the hell i am
[11:42:54]  bunhara: thatd be helpful
[11:43:21]  muirthemne: masterrLove bun
[11:43:33]  bunhara: flusgW
[11:43:40]  bunhara: hi muir
[11:43:48]  muirthemne: redbea13Bouldy hi
[11:44:16]  bunhara: dagger is lerhal, but it doesn't stack on minions anyway so its okay
[11:49:19]  duncanarchib: dagnabbit dagger
[11:53:18]  captainnoobzor: bird man stream
[11:53:41]  sycocell: the captain o7
[11:53:46]  captainnoobzor: hello syco
[11:55:19]  sycocell: oh comeon
[11:55:28]  nerdbusta1: cringe
[11:55:39]  duncanarchib: ouch
[11:59:25]  captainnoobzor: that GA is stacked
[11:59:39]  captainnoobzor: 43 block
[11:59:42]  captainnoobzor: WIDEKREYGASM
[12:01:16]  glint0: just draw in the right order smh
[12:02:39]  glint0: do we need defrag+ for these fights
[12:02:42]  glint0: is the question
[12:04:08]  glint0: yes
[12:04:10]  glint0: if we survive we do
[12:08:31]  glint0: Nilry's go brrrrrrr
[12:20:45]  muirthemne: headBang
[12:23:15]  glint0: ads done PogChamp
[12:23:30]  muirthemne: whats an ad RonSmug
[12:29:16]  muirthemne: DinoDance
[12:32:31]  muirthemne: instead of going for the eyes
[12:32:34]  muirthemne: have you ever tried
[12:32:37]  muirthemne: going for the heart
[12:32:50]  muirthemne: masterrLove
[12:36:57]  muirthemne: eeee
[12:37:41]  bunhara: maybe we should br doing some damage so dagger is lethal when we see it while inserter is on 1?
[12:38:07]  truesque: No armaments from nilry Sadge
[12:38:27]  bunhara: we'll get apo its okay
[12:38:31]  bunhara: dagger isnt upgraded
[12:38:33]  truesque: The dagger
[12:39:11]  bunhara: magnetism CAN be generated midcombat, gamers PogChamp
[12:39:23]  truesque: @bunhara okay do it
[12:39:29]  bunhara: im shy
